country,year,sex,age,suicides_no,population,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
Turkmenistan,1990,male,75+ years,5,16700,Turkmenistan1990,,"3,189,539,641",1036,G.I. Generation
Norway,1997,female,75+ years,12,214100,Norway1997,,"161,354,369,893",39335,G.I. Generation
Finland,2003,female,35-54 years,112,764626,Finland2003,,"171,071,106,095",34701,Boomers
Canada,2006,male,55-74 years,599,2910932,Canada2006,,"1,315,415,197,461",42566,Silent
United Arab Emirates,2006,male,5-14 years,0,287845,United Arab Emirates2006,,"222,116,541,865",45110,Millenials
Japan,1986,female,75+ years,1801,3049000,Japan1986,,"2,078,953,333,674",18288,G.I. Generation
Georgia,1992,female,5-14 years,0,422700,Georgia1992,,"3,690,328,964",740,Millenials
Chile,2003,male,15-24 years,234,1347509,Chile2003,,"75,643,459,840",5208,Millenials
Armenia,2001,female,25-34 years,1,279953,Armenia2001,,"2,118,467,913",587,Generation X
Germany,2014,male,5-14 years,20,3695813,Germany2014,0.916,"3,890,606,893,347",50167,Generation Z
Barbados,1990,male,75+ years,3,5000,Barbados1990,0.716,"2,023,318,252",8537,G.I. Generation
Brazil,2007,female,35-54 years,723,24591528,Brazil2007,,"1,397,084,345,950",7970,Boomers
Bahrain,1997,male,35-54 years,0,96825,Bahrain1997,,"6,349,202,394",11985,Boomers
Poland,2004,male,25-34 years,778,2866574,Poland2004,,"255,102,252,843",7014,Generation X
Austria,1999,female,75+ years,108,385369,Austria1999,,"217,185,787,343",28722,G.I. Generation
Serbia,2014,female,55-74 years,103,974430,Serbia2014,0.771,"44,210,806,366",6500,Boomers
Costa Rica,1985,female,15-24 years,8,274800,Costa Rica1985,0.623,"4,796,628,461",2145,Generation X
Trinidad and Tobago,2003,male,75+ years,4,12918,Trinidad and Tobago2003,,"11,305,459,802",9465,Silent
Cuba,2000,male,25-34 years,248,1087049,Cuba2000,0.685,"30,565,400,000",2940,Generation X
Philippines,2000,female,35-54 years,98,7451816,Philippines2000,0.623,"81,026,300,311",1205,Boomers
Canada,2007,male,25-34 years,404,2250433,Canada2007,,"1,464,977,190,206",46890,Generation X
Costa Rica,2003,female,35-54 years,11,511236,Costa Rica2003,,"17,195,867,540",4583,Boomers
Belize,1994,male,35-54 years,3,14798,Belize1994,,"580,863,700",3399,Boomers
Belgium,1992,female,75+ years,94,428600,Belgium1992,,"236,038,384,442",25036,G.I. Generation
Barbados,2000,female,25-34 years,0,21656,Barbados2000,0.753,"3,121,500,000",12430,Generation X
Kuwait,1994,female,15-24 years,0,111900,Kuwait1994,,"24,848,483,838",17161,Generation X
Spain,1996,male,35-54 years,643,4980500,Spain1996,,"640,998,292,395",17166,Boomers
Colombia,2008,female,15-24 years,206,4153413,Colombia2008,,"243,982,437,871",5971,Millenials
Bahrain,1999,female,15-24 years,1,49631,Bahrain1999,,"6,621,010,372",11703,Generation X
Belarus,2002,female,75+ years,69,359673,Belarus2002,,"14,594,249,023",1541,Silent
Colombia,2008,male,35-54 years,510,5459636,Colombia2008,,"243,982,437,871",5971,Boomers
Finland,2009,male,35-54 years,293,724700,Finland2009,,"251,499,027,508",49878,Boomers
United States,1987,male,5-14 years,199,17486000,United States1987,,"4,870,217,000,000",21631,Generation X
Grenada,1989,male,5-14 years,0,11332,Grenada1989,,"267,327,630",3268,Generation X
Kuwait,2003,female,35-54 years,3,208524,Kuwait2003,,"47,875,838,926",24544,Boomers
Belize,2014,male,35-54 years,5,36808,Belize2014,0.715,"1,703,951,050",5448,Generation X
Barbados,1995,male,55-74 years,1,13400,Barbados1995,0.731,"2,261,969,870",9378,Silent
Albania,2007,female,35-54 years,14,391811,Albania2007,,"10,701,011,897",3863,Boomers
Ukraine,1993,female,15-24 years,152,3565100,Ukraine1993,,"65,648,559,903",1349,Generation X
Azerbaijan,2007,male,5-14 years,4,711200,Azerbaijan2007,,"33,050,343,783",4172,Generation Z
Luxembourg,2014,male,5-14 years,1,31718,Luxembourg2014,0.892,"66,327,344,189",126352,Generation Z
Croatia,1998,female,75+ years,43,144700,Croatia1998,,"25,432,144,406",6015,G.I. Generation
United States,1998,female,5-14 years,83,19112800,United States1998,,"9,089,168,000,000",36164,Millenials
Mauritius,2006,female,5-14 years,1,97629,Mauritius2006,,"7,028,803,366",6246,Millenials
Lithuania,2000,female,75+ years,36,124608,Lithuania2000,0.754,"11,539,211,480",3481,G.I. Generation
Trinidad and Tobago,1999,female,35-54 years,9,160053,Trinidad and Tobago1999,,"6,808,982,521",5803,Boomers
Switzerland,2000,male,25-34 years,147,530378,Switzerland2000,0.888,"272,055,499,941",39952,Generation X
United Kingdom,2003,female,25-34 years,144,4059897,United Kingdom2003,,"2,038,395,102,041",36289,Generation X
Belgium,2015,male,25-34 years,161,728873,Belgium2015,,"455,039,563,133",42830,Millenials
Mauritius,2009,male,15-24 years,16,99793,Mauritius2009,,"9,128,843,109",7873,Millenials
Bahrain,2007,male,55-74 years,2,32965,Bahrain2007,,"21,730,000,000",22524,Silent
Saint Vincent and Grenadines,2002,male,75+ years,2,1270,Saint Vincent and Grenadines2002,,"461,883,444",4723,Silent
Ireland,2010,female,55-74 years,25,394633,Ireland2010,0.908,"221,951,354,762",52042,Silent
Mauritius,1999,female,55-74 years,2,61600,Mauritius1999,,"4,291,172,816",4117,Silent
Germany,1999,male,25-34 years,1132,6411800,Germany1999,,"2,199,957,383,337",28154,Generation X
Argentina,1985,male,25-34 years,177,2234200,Argentina1985,0.694,"88,416,668,900",3264,Boomers
Luxembourg,2002,female,75+ years,3,17636,Luxembourg2002,,"23,616,328,816",56484,Silent
Guyana,2008,male,35-54 years,53,87299,Guyana2008,,"1,922,598,121",2873,Boomers
Armenia,2007,female,35-54 years,8,444817,Armenia2007,,"9,206,301,700",3366,Boomers
Iceland,2001,male,15-24 years,8,21707,Iceland2001,,"8,136,345,144",30850,Millenials
Luxembourg,1995,female,15-24 years,1,23700,Luxembourg1995,0.805,"21,588,170,498",56499,Generation X
Ukraine,2003,male,55-74 years,2648,3837902,Ukraine2003,,"50,132,953,288",1097,Silent
Belize,2000,female,55-74 years,0,7396,Belize2000,0.683,"832,072,450",3960,Silent
Suriname,2003,female,25-34 years,6,38701,Suriname2003,,"1,271,196,078",2916,Generation X
Uzbekistan,1992,male,15-24 years,257,2079600,Uzbekistan1992,,"12,941,297,376",709,Generation X
Cuba,2009,female,5-14 years,3,675592,Cuba2009,,"62,080,000,000",5797,Generation Z
Kyrgyzstan,2012,female,55-74 years,10,258395,Kyrgyzstan2012,0.645,"6,605,139,933",1339,Boomers
Cuba,2012,female,15-24 years,25,746677,Cuba2012,0.772,"73,141,000,000",6791,Millenials
Kazakhstan,2009,male,75+ years,60,116533,Kazakhstan2009,,"115,308,661,143",8024,Silent
Spain,2008,male,5-14 years,2,2209304,Spain2008,,"1,635,015,380,108",37848,Generation Z
Sweden,2008,female,5-14 years,4,492594,Sweden2008,,"513,965,650,650",59155,Generation Z
Georgia,1997,male,5-14 years,2,360800,Georgia1997,,"3,510,540,809",828,Millenials
Belarus,2011,female,5-14 years,1,435715,Belarus2011,0.793,"61,757,788,945",6902,Generation Z
Guatemala,2011,female,35-54 years,8,1314716,Guatemala2011,0.617,"47,654,841,113",3661,Generation X
Albania,2003,male,55-74 years,16,201520,Albania2003,,"5,746,945,913",2021,Silent
New Zealand,2002,male,5-14 years,0,308420,New Zealand2002,,"66,627,729,311",18208,Millenials
Uruguay,2007,female,75+ years,14,140384,Uruguay2007,,"23,410,572,634",7581,Silent
Republic of Korea,1987,male,5-14 years,27,4259100,Republic of Korea1987,,"146,133,338,196",3834,Generation X
Colombia,2014,male,15-24 years,480,4216293,Colombia2014,0.72,"378,195,716,714",8591,Millenials
Russian Federation,2014,male,35-54 years,8105,19484117,Russian Federation2014,,"2,063,662,665,172",15319,Generation X
Canada,2013,male,75+ years,231,991048,Canada2013,0.912,"1,842,628,005,830",55310,Silent
Paraguay,2011,female,75+ years,0,71811,Paraguay2011,0.671,"25,099,681,461",4474,Silent
Luxembourg,1993,female,25-34 years,2,33500,Luxembourg1993,,"16,486,900,187",44320,Boomers
Slovenia,2009,female,55-74 years,38,230162,Slovenia2009,,"50,244,793,832",25872,Silent
Maldives,2005,female,55-74 years,0,10524,Maldives2005,0.638,"1,163,362,438",4026,Silent
Malta,2011,female,5-14 years,0,20542,Malta2011,0.822,"9,507,645,260",23984,Generation Z
Bahamas,1998,male,75+ years,0,1939,Bahamas1998,,"6,833,220,000",26269,G.I. Generation
Bulgaria,2007,male,75+ years,151,215225,Bulgaria2007,,"44,411,476,557",6073,Silent
Greece,2006,male,5-14 years,0,547604,Greece2006,,"273,317,737,047",25739,Millenials
Albania,2000,male,15-24 years,5,240000,Albania2000,0.656,"3,632,043,908",1299,Generation X
Canada,2002,female,75+ years,30,1126677,Canada2002,,"757,950,678,647",25570,Silent
Mexico,2015,male,5-14 years,137,11790898,Mexico2015,,"1,169,622,672,463",10228,Generation Z
Kazakhstan,1991,male,5-14 years,66,1721900,Kazakhstan1991,,"24,881,135,586",1664,Millenials
Republic of Korea,1998,male,25-34 years,1240,4604300,Republic of Korea1998,,"374,241,351,752",8624,Generation X
Armenia,1995,female,15-24 years,3,303200,Armenia1995,0.605,"1,468,317,350",426,Generation X
Maldives,2000,female,25-34 years,0,20187,Maldives2000,0.603,"624,337,145",2524,Generation X
Netherlands,2009,female,25-34 years,48,996321,Netherlands2009,,"857,932,759,100",54988,Generation X
Cyprus,2012,male,5-14 years,0,47222,Cyprus2012,0.852,"25,041,372,222",30752,Generation Z
Uruguay,1987,male,55-74 years,63,239600,Uruguay1987,,"7,367,494,080",2651,G.I. Generation
Chile,2001,male,25-34 years,297,1254746,Chile2001,,"70,979,923,960",5020,Generation X
Belize,1990,female,35-54 years,0,11000,Belize1990,0.644,"413,050,000",2614,Silent
Georgia,2001,male,75+ years,4,55300,Georgia2001,,"3,219,487,747",777,Silent
Sweden,2000,male,75+ years,128,303198,Sweden2000,0.897,"259,802,012,617",30896,G.I. Generation
Greece,1993,female,35-54 years,29,1341283,Greece1993,,"108,809,058,859",10957,Boomers
Japan,2004,male,75+ years,1876,4056000,Japan2004,,"4,815,148,854,362",39960,Silent
Norway,2004,female,55-74 years,41,426811,Norway2004,,"264,357,494,659",61450,Silent
Qatar,2012,male,5-14 years,0,91507,Qatar2012,0.848,"186,833,516,484",93270,Generation Z
Cuba,2011,male,15-24 years,75,808772,Cuba2011,0.776,"68,990,000,000",6419,Millenials
Japan,1995,female,25-34 years,667,8178700,Japan1995,0.838,"5,449,116,304,981",46043,Generation X
Panama,1998,female,55-74 years,3,127666,Panama1998,,"11,575,486,400",4488,Silent
Turkmenistan,2005,male,25-34 years,102,376109,Turkmenistan2005,,"8,104,355,717",1906,Generation X
Romania,1993,male,35-54 years,943,2869900,Romania1993,,"26,362,894,737",1237,Boomers
Uzbekistan,2011,female,15-24 years,248,3092119,Uzbekistan2011,0.661,"45,915,191,189",1767,Millenials
Saint Lucia,1992,male,35-54 years,7,11354,Saint Lucia1992,,"566,894,749",4564,Boomers
Philippines,2002,male,55-74 years,93,2525030,Philippines2002,,"81,357,605,642",1158,Silent
Malta,1990,female,75+ years,0,8400,Malta1990,0.729,"2,547,163,582",7780,G.I. Generation
Lithuania,2010,male,25-34 years,110,198028,Lithuania2010,0.827,"37,120,517,694",12584,Generation X
Grenada,2006,male,15-24 years,0,12437,Grenada2006,,"698,700,667",7423,Millenials
Mauritius,1987,female,5-14 years,4,103900,Mauritius1987,,"1,888,754,655",2073,Generation X
Italy,2001,female,75+ years,178,2950086,Italy2001,,"1,162,317,852,349",21392,Silent
Argentina,1998,male,35-54 years,508,3990829,Argentina1998,,"298,948,250,000",9126,Boomers
Turkmenistan,2008,female,55-74 years,6,196586,Turkmenistan2008,,"19,271,523,179",4368,Silent
Kyrgyzstan,1995,male,5-14 years,5,564200,Kyrgyzstan1995,0.562,"1,661,018,519",425,Millenials
Costa Rica,1999,female,15-24 years,8,344682,Costa Rica1999,,"14,195,623,425",4115,Generation X
Austria,1985,female,25-34 years,56,544765,Austria1985,0.764,"69,386,774,475",9759,Boomers
United States,1988,male,25-34 years,5463,21853000,United States1988,,"5,252,629,000,000",23103,Boomers
Belgium,2004,male,35-54 years,618,1542915,Belgium2004,,"370,885,026,074",37661,Boomers
Aruba,2004,female,15-24 years,1,6650,Aruba2004,,"2,228,279,330",24133,Millenials
Georgia,2011,male,55-74 years,23,352600,Georgia2011,0.74,"14,434,619,982",3435,Boomers
Netherlands,2011,female,35-54 years,210,2433362,Netherlands2011,0.919,"893,757,287,202",56667,Generation X
El Salvador,1993,male,75+ years,6,30100,El Salvador1993,,"6,680,269,200",1423,G.I. Generation
Australia,2015,male,25-34 years,423,1762265,Australia2015,,"1,349,034,029,453",60656,Millenials
Mexico,2012,male,15-24 years,1251,11427075,Mexico2012,0.754,"1,201,090,018,604",10982,Millenials
Bulgaria,1992,female,75+ years,104,234600,Bulgaria1992,,"10,350,515,464",1287,G.I. Generation
Israel,1998,female,75+ years,15,143800,Israel1998,,"115,979,230,547",21637,G.I. Generation
Ecuador,1986,male,5-14 years,6,1345000,Ecuador1986,,"15,314,143,988",1943,Generation X
Finland,2001,male,75+ years,44,108828,Finland2001,,"129,250,111,857",26383,Silent
Iceland,1999,female,55-74 years,2,20236,Iceland1999,,"8,917,286,036",34858,Silent
Panama,1985,female,25-34 years,3,160000,Panama1985,0.648,"6,541,517,100",3443,Boomers
Jamaica,2006,female,15-24 years,0,248379,Jamaica2006,,"11,905,525,197",4738,Millenials
Antigua and Barbuda,1994,male,5-14 years,0,7494,Antigua and Barbuda1994,,"589,429,593",9062,Millenials
Hungary,2010,male,75+ years,242,238269,Hungary2010,0.821,"130,922,638,689",13761,Silent
Mauritius,1990,female,5-14 years,3,103400,Mauritius1990,0.619,"2,653,480,001",2820,Generation X
Austria,2016,female,75+ years,61,478267,Austria2016,,"390,799,991,147",46976,Silent
Malta,1995,female,15-24 years,0,26600,Malta1995,0.741,"3,439,931,907",9974,Generation X
Antigua and Barbuda,2004,male,25-34 years,0,6556,Antigua and Barbuda2004,,"919,577,148",11535,Generation X
Malta,1999,female,55-74 years,2,34300,Malta1999,,"4,127,313,818",11607,Silent
Guyana,1998,female,5-14 years,2,84570,Guyana1998,,"717,530,683",1092,Millenials
Sweden,2005,female,75+ years,48,486935,Sweden2005,0.892,"389,042,298,377",45563,Silent
Uruguay,2004,female,5-14 years,3,264222,Uruguay2004,,"13,686,329,890",4463,Millenials
Denmark,2010,female,55-74 years,56,634607,Denmark2010,0.908,"321,995,350,347",61711,Silent
Saint Lucia,2014,female,15-24 years,1,16194,Saint Lucia2014,0.729,"1,551,921,037",9372,Millenials
Belize,1987,male,25-34 years,2,11815,Belize1987,,"276,550,000",1920,Boomers
Republic of Korea,2014,male,75+ years,1090,875829,Republic of Korea2014,,"1,411,333,926,201",29120,Silent
Australia,1998,male,55-74 years,301,1444867,Australia1998,,"398,899,138,574",22897,Silent
El Salvador,2002,male,75+ years,11,50753,El Salvador2002,,"12,664,190,300",2421,Silent
Ecuador,2013,female,55-74 years,12,863112,Ecuador2013,0.73,"95,129,659,000",6769,Boomers
Bahrain,2002,male,75+ years,0,2755,Bahrain2002,,"9,632,155,053",14572,Silent
Russian Federation,1990,male,5-14 years,260,11397000,Russian Federation1990,,"516,814,274,022",3789,Generation X
Ukraine,1990,male,25-34 years,1490,3837800,Ukraine1990,0.705,"81,456,918,679",1698,Boomers
Poland,2004,male,75+ years,200,646608,Poland2004,,"255,102,252,843",7014,Silent
Montenegro,2000,female,75+ years,0,14322,Montenegro2000,,"984,297,589",1701,G.I. Generation
Singapore,2012,female,25-34 years,15,286200,Singapore2012,0.905,"290,673,681,684",80040,Millenials
Italy,1986,male,75+ years,568,1149900,Italy1986,,"638,273,986,102",11762,G.I. Generation
Suriname,1987,male,75+ years,2,2919,Suriname1987,,"979,850,000",2951,G.I. Generation
Belgium,1995,female,15-24 years,39,634100,Belgium1995,0.851,"289,567,323,481",30394,Generation X
Croatia,2009,male,55-74 years,199,455148,Croatia2009,,"62,703,143,057",14872,Silent
Saint Vincent and Grenadines,2014,female,35-54 years,0,13751,Saint Vincent and Grenadines2014,0.72,"725,185,185",7203,Generation X
Grenada,1996,male,75+ years,0,1144,Grenada1996,,"366,911,444",4087,G.I. Generation
Costa Rica,2010,female,15-24 years,10,404425,Costa Rica2010,0.75,"37,268,635,287",8906,Millenials
Slovenia,2007,female,55-74 years,31,223540,Slovenia2007,,"48,114,688,201",24964,Silent
Turkmenistan,2010,female,35-54 years,9,601270,Turkmenistan2010,0.666,"22,583,157,895",4962,Generation X
Panama,2009,female,35-54 years,4,430632,Panama2009,,"27,116,635,600",8436,Boomers
Israel,1998,female,55-74 years,21,403400,Israel1998,,"115,979,230,547",21637,Silent
Poland,2003,male,5-14 years,16,2481651,Poland2003,,"217,513,049,292",5983,Millenials
Argentina,2010,male,75+ years,206,657096,Argentina2010,0.811,"423,627,422,092",11273,Silent
Estonia,2002,male,25-34 years,53,98385,Estonia2002,,"7,322,069,511",5561,Generation X
Ukraine,2010,female,35-54 years,458,6928455,Ukraine2010,0.732,"136,013,155,905",3141,Generation X
Denmark,2013,female,75+ years,25,243880,Denmark2013,0.923,"343,584,385,594",64831,Silent
Finland,1997,male,35-54 years,473,791600,Finland1997,,"126,833,123,354",26296,Boomers
Cuba,1993,male,5-14 years,3,817000,Cuba1993,,"22,367,254,865",2236,Millenials
Israel,1991,male,5-14 years,3,511100,Israel1991,,"67,530,220,219",15267,Millenials
Armenia,2008,male,25-34 years,4,250190,Armenia2008,,"11,662,040,714",3829,Generation X
Luxembourg,2007,male,55-74 years,14,42200,Luxembourg2007,,"50,888,134,410",112581,Silent
Czech Republic,2004,female,55-74 years,95,1150600,Czech Republic2004,,"119,162,172,468",12226,Silent
Canada,1986,female,25-34 years,172,2278400,Canada1986,,"377,437,927,312",16062,Boomers
Sweden,2006,female,35-54 years,143,1202882,Sweden2006,,"420,032,121,656",48977,Boomers
Guyana,2013,female,35-54 years,13,89706,Guyana2013,0.634,"2,990,006,534",4372,Generation X
Denmark,2005,male,55-74 years,139,564794,Denmark2005,0.902,"264,467,308,109",51960,Silent
Turkmenistan,1997,female,35-54 years,15,404600,Turkmenistan1997,,"2,450,084,970",612,Boomers
Norway,2014,female,5-14 years,1,303487,Norway2014,0.944,"499,338,534,779",103443,Generation Z
Lithuania,2001,male,25-34 years,190,243174,Lithuania2001,,"12,252,498,921",3719,Generation X
Malta,1996,male,15-24 years,3,28700,Malta1996,,"3,570,271,558",10254,Generation X
Trinidad and Tobago,1986,female,5-14 years,0,123200,Trinidad and Tobago1986,,"4,794,444,444",4516,Generation X
Paraguay,1986,male,25-34 years,10,278072,Paraguay1986,,"3,439,716,562",1086,Boomers
Barbados,2010,female,35-54 years,0,43369,Barbados2010,0.78,"4,461,650,000",17034,Generation X
Armenia,2015,female,55-74 years,5,297936,Armenia2015,,"10,553,337,673",3775,Boomers
Saint Lucia,2000,male,55-74 years,3,6940,Saint Lucia2000,0.683,"784,159,229",5557,Silent
Finland,1996,female,75+ years,15,212000,Finland1996,,"132,099,404,608",27508,G.I. Generation
Ireland,1987,male,35-54 years,54,380400,Ireland1987,,"33,961,142,322",10515,Silent
Mauritius,2008,male,5-14 years,0,97260,Mauritius2008,,"9,990,370,016",8716,Generation Z
Mauritius,2012,male,35-54 years,37,183077,Mauritius2012,0.772,"11,668,685,524",9884,Generation X
Luxembourg,2008,male,35-54 years,20,77730,Luxembourg2008,,"55,849,686,539",121315,Boomers
Uzbekistan,1990,female,75+ years,27,218400,Uzbekistan1990,,"13,360,607,918",778,G.I. Generation
Antigua and Barbuda,2013,male,15-24 years,0,8061,Antigua and Barbuda2013,0.781,"1,192,925,407",13287,Millenials
Denmark,2000,female,55-74 years,54,528095,Denmark2000,0.862,"164,158,800,460",32841,Silent
Iceland,1999,female,35-54 years,1,37010,Iceland1999,,"8,917,286,036",34858,Boomers
Seychelles,2009,female,5-14 years,0,6600,Seychelles2009,,"847,397,850",10157,Generation Z
Netherlands,2013,male,15-24 years,93,1044562,Netherlands2013,0.92,"866,680,000,367",54510,Millenials
Turkey,2009,male,25-34 years,189,6272520,Turkey2009,,"644,639,902,581",9773,Generation X
Belgium,2005,male,55-74 years,370,1018252,Belgium2005,0.866,"387,365,750,529",39124,Silent
El Salvador,1991,female,75+ years,1,44305,El Salvador1991,,"5,252,342,400",1148,G.I. Generation
New Zealand,1995,female,75+ years,9,109500,New Zealand1995,0.855,"63,918,039,320",18945,G.I. Generation
Kuwait,2011,male,55-74 years,2,128263,Kuwait2011,0.812,"154,027,536,232",46203,Boomers
Mauritius,1996,female,5-14 years,2,93900,Mauritius1996,,"4,421,943,910",4444,Millenials
Azerbaijan,1991,female,35-54 years,11,650100,Azerbaijan1991,,"8,792,365,811",1398,Boomers
Australia,1987,female,75+ years,38,421200,Australia1987,,"189,041,159,344",12564,G.I. Generation
Saint Lucia,2004,male,15-24 years,0,16100,Saint Lucia2004,,"893,107,211",5989,Millenials
Sweden,2012,female,15-24 years,34,602499,Sweden2012,0.904,"543,880,647,757",60776,Millenials
Brazil,1998,female,75+ years,55,1580747,Brazil1998,,"863,723,411,633",5663,G.I. Generation
Bulgaria,1989,female,25-34 years,28,614200,Bulgaria1989,,"21,988,444,444",2617,Boomers
Kuwait,1986,male,15-24 years,4,157400,Kuwait1986,,"17,903,681,693",11661,Generation X
Mexico,2008,male,35-54 years,1113,12193540,Mexico2008,,"1,109,989,038,339",10864,Boomers
Slovenia,2011,male,55-74 years,132,222946,Slovenia2011,0.877,"51,290,792,018",26377,Boomers
El Salvador,2007,female,5-14 years,9,698018,El Salvador2007,,"17,011,750,900",3111,Generation Z
Austria,1989,male,35-54 years,402,968546,Austria1989,,"133,105,805,928",18544,Silent
United Kingdom,2007,male,75+ years,214,1834466,United Kingdom2007,,"3,074,359,743,898",53576,Silent
Suriname,2010,female,75+ years,4,6758,Suriname2010,0.707,"4,368,398,048",9176,Silent
Suriname,2003,female,5-14 years,0,49482,Suriname2003,,"1,271,196,078",2916,Millenials
United Kingdom,2012,male,15-24 years,364,4204765,United Kingdom2012,0.901,"2,662,085,168,499",44585,Millenials
United States,1988,female,25-34 years,1247,21822000,United States1988,,"5,252,629,000,000",23103,Boomers
Georgia,1995,female,75+ years,3,126000,Georgia1995,,"2,693,731,866",611,G.I. Generation
Denmark,2003,male,5-14 years,0,350879,Denmark2003,,"218,095,997,085",43129,Millenials
United States,2002,male,75+ years,2642,6470864,United States2002,,"10,977,514,000,000",40845,Silent
Antigua and Barbuda,2009,male,25-34 years,0,6325,Antigua and Barbuda2009,,"1,224,253,000",14335,Generation X
Sri Lanka,1985,male,75+ years,144,115000,Sri Lanka1985,0.597,"5,978,460,972",431,G.I. Generation
United States,2000,male,55-74 years,4153,19948630,United States2000,0.883,"10,284,779,000,000",39218,Silent
Greece,2002,male,55-74 years,87,1125984,Greece2002,,"153,830,947,017",14676,Silent
Turkmenistan,1999,female,55-74 years,11,176010,Turkmenistan1999,,"2,450,686,660",619,Silent
Romania,1993,female,25-34 years,51,1468500,Romania1993,,"26,362,894,737",1237,Boomers
Singapore,2014,female,75+ years,10,97390,Singapore2014,0.912,"311,539,499,645",84442,Silent
Costa Rica,2013,male,15-24 years,48,418437,Costa Rica2013,0.764,"49,745,088,112",11443,Millenials
Sweden,2002,female,5-14 years,3,563639,Sweden2002,,"263,926,220,333",31175,Millenials
Turkmenistan,2013,female,55-74 years,1,250752,Turkmenistan2013,0.682,"39,197,543,860",8255,Boomers
Trinidad and Tobago,1993,male,5-14 years,0,155100,Trinidad and Tobago1993,,"4,669,488,516",4066,Millenials
Maldives,2003,female,35-54 years,1,25331,Maldives2003,,"1,052,121,055",3867,Boomers
Kuwait,2012,male,5-14 years,1,250917,Kuwait2012,0.815,"174,070,025,009",49781,Generation Z
Lithuania,1996,male,35-54 years,664,438770,Lithuania1996,,"8,385,109,020",2484,Boomers
Norway,2003,male,35-54 years,134,654050,Norway2003,,"228,752,436,372",53533,Boomers
Saint Vincent and Grenadines,1995,male,55-74 years,1,4642,Saint Vincent and Grenadines1995,,"316,008,481",3293,Silent
Guatemala,2009,male,15-24 years,118,1500901,Guatemala2009,,"37,733,994,976",3053,Millenials
Aruba,1999,female,55-74 years,0,6192,Aruba1999,,"1,722,798,883",21027,Silent
New Zealand,2005,male,15-24 years,84,300360,New Zealand2005,0.895,"114,718,721,397",29803,Millenials
Australia,2006,male,15-24 years,230,1446866,Australia2006,,"745,521,862,833",39014,Millenials
Greece,2008,male,35-54 years,115,1650138,Greece2008,,"354,460,802,549",33168,Boomers
